nationality,sex,gold,silver,bronze
AFG,female,0,0,0
AFG,male,0,0,0
ALB,female,0,0,0
ALB,male,0,0,0
ALG,female,0,0,0
ALG,male,0,2,0
AND,female,0,0,0
AND,male,0,0,0
ANG,female,0,0,0
ANG,male,0,0,0
ANT,female,0,0,0
ANT,male,0,0,0
ARG,female,2,0,0
ARG,male,19,1,0
ARM,female,0,0,0
ARM,male,1,3,0
ARU,female,0,0,0
ARU,male,0,0,0
ASA,female,0,0,0
ASA,male,0,0,0
AUS,female,20,14,4
AUS,male,3,20,21
AUT,female,0,0,1
AUT,male,0,0,1
AZE,female,0,1,3
AZE,male,1,6,7
BAH,female,1,0,0
BAH,male,0,0,5
BAN,female,0,0,0
BAN,male,0,0,0
BAR,female,0,0,0
BAR,male,0,0,0
BDI,female,0,1,0
BDI,male,0,0,0
BEL,female,1,0,1
BEL,male,1,17,1
BEN,female,0,0,0
BEN,male,0,0,0
BER,female,0,0,0
BER,male,0,0,0
BHU,female,0,0,0
BIH,female,0,0,0
BIH,male,0,0,0
BIZ,female,0,0,0
BIZ,male,0,0,0
BLR,female,0,2,5
BLR,male,1,2,2
BOL,female,0,0,0
BOL,male,0,0,0
BOT,female,0,0,0
BOT,male,0,0,0
BRA,female,3,2,2
BRA,male,34,6,4
BRN,female,1,1,0
BRN,male,0,0,0
BRU,female,0,0,0
BRU,male,0,0,0
BUL,female,0,1,6
BUL,male,0,0,0
BUR,female,0,0,0
BUR,male,0,0,0
CAF,female,0,0,0
CAF,male,0,0,0
CAM,female,0,0,0
CAM,male,0,0,0
CAN,female,3,3,53
CAN,male,1,1,8
CAY,female,0,0,0
CAY,male,0,0,0
CGO,female,0,0,0
CGO,male,0,0,0
CHA,female,0,0,0
CHA,male,0,0,0
CHI,female,0,0,0
CHI,male,0,0,0
CHN,female,30,23,22
CHN,male,16,7,15
CIV,female,0,0,1
CIV,male,1,0,0
CMR,female,0,0,0
CMR,male,0,0,0
COD,female,0,0,0
COD,male,0,0,0
COK,female,0,0,0
COK,male,0,0,0
COL,female,2,1,1
COL,male,1,1,2
COM,female,0,0,0
COM,male,0,0,0
CPV,female,0,0,0
CPV,male,0,0,0
CRC,female,0,0,0
CRC,male,0,0,0
CRO,female,2,0,1
CRO,male,5,15,1
CUB,female,0,1,1
CUB,male,5,1,3
CYP,female,0,0,0
CYP,male,0,0,0
CZE,female,0,0,5
CZE,male,1,2,7
DEN,female,1,4,9
DEN,male,14,6,7
DJI,female,0,0,0
DJI,male,0,0,0
DMA,female,0,0,0
DMA,male,0,0,0
DOM,female,0,0,0
DOM,male,0,0,1
ECU,female,0,0,0
ECU,male,0,0,0
EGY,female,0,0,2
EGY,male,0,0,1
ERI,female,0,0,0
ERI,male,0,0,0
ESA,female,0,0,0
ESA,male,0,0,0
ESP,female,4,18,2
ESP,male,5,1,15
EST,female,0,0,0
EST,male,0,0,4
ETH,female,1,1,3
ETH,male,0,1,2
FIJ,female,0,0,0
FIJ,male,13,0,0
FIN,female,0,0,1
FIN,male,0,0,0
FRA,female,4,21,2
FRA,male,16,33,19
FSM,female,0,0,0
FSM,male,0,0,0
GAB,female,0,0,0
GAB,male,0,0,0
GAM,female,0,0,0
GAM,male,0,0,0
GBR,female,28,20,15
GBR,male,36,35,11
GBS,female,0,0,0
GBS,male,0,0,0
GEO,female,0,0,0
GEO,male,2,1,4
GEQ,female,0,0,0
GEQ,male,0,0,0
GER,female,29,16,23
GER,male,20,28,44
GHA,female,0,0,0
GHA,male,0,0,0
GRE,female,2,0,1
GRE,male,1,1,2
GRN,female,0,0,0
GRN,male,0,1,0
GUA,female,0,0,0
GUA,male,0,0,0
GUI,female,0,0,0
GUI,male,0,0,0
GUM,female,0,0,0
GUM,male,0,0,0
GUY,female,0,0,0
GUY,male,0,0,0
HAI,female,0,0,0
HAI,male,0,0,0
HKG,female,0,0,0
HKG,male,0,0,0
HON,female,0,0,0
HON,male,0,0,0
HUN,female,11,1,2
HUN,male,1,2,5
INA,female,1,1,0
INA,male,1,1,0
IND,female,0,1,1
IND,male,0,0,0
IOA,female,0,0,0
IOA,male,1,0,1
IRI,female,0,0,1
IRI,male,3,1,3
IRL,female,0,1,0
IRL,male,0,2,0
IRQ,male,0,0,0
ISL,female,0,0,0
ISL,male,0,0,0
ISR,female,0,0,1
ISR,male,0,0,1
ISV,female,0,0,0
ISV,male,0,0,0
ITA,female,1,20,2
ITA,male,7,20,22
IVB,female,0,0,0
IVB,male,0,0,0
JAM,female,2,12,2
JAM,male,9,5,0
JOR,female,0,0,0
JOR,male,1,0,0
